date,txvolume_usd,adjustedtxvolume_usd,txcount,marketcap_usd,price_usd,exchangevolume_usd,generatedcoins,fees,activeaddresses,averagedifficulty,paymentcount,mediantxvalue_usd,medianfee,blocksize,blockcount
2009-01-09,,,0,,,,700.0,0.0,14,1.0,,,,3010,14
2009-01-10,,,0,,,,3050.0,0.0,61,1.0,,,,13129,61
2009-01-11,,,0,,,,4650.0,0.0,93,1.0,,,,20033,93
2009-01-12,,,7,,,,4700.0,0.0,102,1.0,5.0,,0.0,22031,94
2009-01-13,,,0,,,,6150.0,0.0,123,1.0,,,,26527,123
2009-01-14,,,1,,,,6450.0,0.0,133,1.0,0.0,,0.0,28276,129
2009-01-15,,,8,,,,6300.0,0.0,140,1.0,6.0,,0.0,30061,126
2009-01-16,,,2,,,,5400.0,0.0,114,1.0,0.0,,0.0,23854,108
2009-01-17,,,0,,,,5450.0,0.0,109,1.0,,,,23528,109
2009-01-18,,,1,,,,5350.0,0.0,111,1.0,0.0,,0.0,23534,107
2009-01-19,,,2,,,,5750.0,0.0,133,1.0,0.0,,0.0,26783,115
2009-01-20,,,1,,,,5700.0,0.0,123,1.0,0.0,,0.0,25619,114
2009-01-21,,,1,,,,5100.0,0.0,105,1.0,0.0,,0.0,22337,102
